id,text,obfuscatedText,epsilon,mechanism
1037798,who is robert gray,what is john gray,17.5,ContextualMhl
1037798,who is robert gray,who is rob grey,17.5,ContextualMhl
1037798,who is robert gray,what is john gray,17.5,ContextualMhl
1037798,who is robert gray,what is john gray,17.5,ContextualMhl
1037798,who is robert gray,what is john gray,17.5,ContextualMhl
1037798,who is robert gray,who is robert mack,17.5,ContextualMhl
1037798,who is robert gray,who is roderick gray,17.5,ContextualMhl
1037798,who is robert gray,who is roderick gray,17.5,ContextualMhl
1037798,who is robert gray,what is john gray,17.5,ContextualMhl
1037798,who is robert gray,what is john gray,17.5,ContextualMhl
1037798,who is robert gray,who is roderick gray,17.5,ContextualMhl
1037798,who is robert gray,who is rob grey,17.5,ContextualMhl
1037798,who is robert gray,who is robert davies,17.5,ContextualMhl
1037798,who is robert gray,what is john gray,17.5,ContextualMhl
1037798,who is robert gray,what is john gray,17.5,ContextualMhl
1037798,who is robert gray,what is john gray,17.5,ContextualMhl
1037798,who is robert gray,what is john gray,17.5,ContextualMhl
1037798,who is robert gray,who is rob grey,17.5,ContextualMhl
1037798,who is robert gray,who is rob grey,17.5,ContextualMhl
1037798,who is robert gray,what is john gray,17.5,ContextualMhl
1037798,who is robert gray,what is john gray,17.5,ContextualMhl
1037798,who is robert gray,who is roderick gray,17.5,ContextualMhl
1037798,who is robert gray,what is john gray,17.5,ContextualMhl
1037798,who is robert gray,who is robert mack,17.5,ContextualMhl
1037798,who is robert gray,what is john gray,17.5,ContextualMhl
1037798,who is robert gray,what is john gray,17.5,ContextualMhl
1037798,who is robert gray,who is rob grey,17.5,ContextualMhl
1037798,who is robert gray,what is john gray,17.5,ContextualMhl
1037798,who is robert gray,who is robert mack,17.5,ContextualMhl
1037798,who is robert gray,what is john gray,17.5,ContextualMhl
1037798,who is robert gray,who is john gray author,17.5,ContextualMhl
1037798,who is robert gray,who is john gray author,17.5,ContextualMhl
1037798,who is robert gray,who is roderick gray,17.5,ContextualMhl
1037798,who is robert gray,who is rob grey,17.5,ContextualMhl
1037798,who is robert gray,who is rob grey,17.5,ContextualMhl
1037798,who is robert gray,who is ken gray,17.5,ContextualMhl
1037798,who is robert gray,who is roderick gray,17.5,ContextualMhl
1037798,who is robert gray,what is john gray,17.5,ContextualMhl
1037798,who is robert gray,who is robert mack,17.5,ContextualMhl
1037798,who is robert gray,who is roderick gray,17.5,ContextualMhl
1037798,who is robert gray,who is roderick gray,17.5,ContextualMhl
1037798,who is robert gray,what is john gray,17.5,ContextualMhl
1037798,who is robert gray,what is john gray,17.5,ContextualMhl
1037798,who is robert gray,what is john gray,17.5,ContextualMhl
1037798,who is robert gray,who is rob grey,17.5,ContextualMhl
1037798,who is robert gray,who is rob grey,17.5,ContextualMhl
1037798,who is robert gray,what is john gray,17.5,ContextualMhl
1037798,who is robert gray,what is john gray,17.5,ContextualMhl
1037798,who is robert gray,who is rob grey,17.5,ContextualMhl
1037798,who is robert gray,what is john gray,17.5,ContextualMhl
104861,cost of interior concrete flooring,concrete flooring cost,17.5,ContextualMhl
104861,cost of interior concrete flooring,concrete floor indoor brisbane cost,17.5,ContextualMhl
104861,cost of interior concrete flooring,concrete flooring cost,17.5,ContextualMhl
104861,cost of interior concrete flooring,concrete flooring cost,17.5,ContextualMhl
104861,cost of interior concrete flooring,concrete flooring cost,17.5,ContextualMhl
104861,cost of interior concrete flooring,concrete floor indoor brisbane cost,17.5,ContextualMhl
104861,cost of interior concrete flooring,concrete floor indoor brisbane cost,17.5,ContextualMhl
104861,cost of interior concrete flooring,concrete floor indoor brisbane cost,17.5,ContextualMhl
104861,cost of interior concrete flooring,concrete floor indoor brisbane cost,17.5,ContextualMhl
104861,cost of interior concrete flooring,concrete floor indoor brisbane cost,17.5,ContextualMhl
104861,cost of interior concrete flooring,concrete floor indoor brisbane cost,17.5,ContextualMhl
104861,cost of interior concrete flooring,concrete floor indoor brisbane cost,17.5,ContextualMhl
104861,cost of interior concrete flooring,concrete flooring cost,17.5,ContextualMhl
104861,cost of interior concrete flooring,concrete floor indoor brisbane cost,17.5,ContextualMhl
104861,cost of interior concrete flooring,concrete floor indoor brisbane cost,17.5,ContextualMhl
104861,cost of interior concrete flooring,concrete floor indoor brisbane cost,17.5,ContextualMhl
104861,cost of interior concrete flooring,concrete floor indoor brisbane cost,17.5,ContextualMhl
104861,cost of interior concrete flooring,concrete floor indoor brisbane cost,17.5,ContextualMhl
104861,cost of interior concrete flooring,concrete floor indoor brisbane cost,17.5,ContextualMhl
104861,cost of interior concrete flooring,concrete floor indoor brisbane cost,17.5,ContextualMhl
104861,cost of interior concrete flooring,concrete flooring cost,17.5,ContextualMhl
104861,cost of interior concrete flooring,concrete flooring cost,17.5,ContextualMhl
104861,cost of interior concrete flooring,concrete floor indoor brisbane cost,17.5,ContextualMhl
104861,cost of interior concrete flooring,concrete floor indoor brisbane cost,17.5,ContextualMhl
104861,cost of interior concrete flooring,concrete floor indoor brisbane cost,17.5,ContextualMhl
104861,cost of interior concrete flooring,concrete flooring cost,17.5,ContextualMhl
104861,cost of interior concrete flooring,concrete flooring cost,17.5,ContextualMhl
