id,text,obfuscatedText,epsilon,mechanism
1,Ferroportin-1 in humans,what is this medicine for ferrous,25,ContextualCMP
1,Ferroportin-1 in humans,tetrodotoxin effects on humans,25,ContextualCMP
1,Ferroportin-1 in humans,what is ferrocon,25,ContextualCMP
1,Ferroportin-1 in humans,what is ferrocon,25,ContextualCMP
1,Ferroportin-1 in humans,what is dexamethasone used for in humans,25,ContextualCMP
1,Ferroportin-1 in humans,tetrodotoxin effects on humans,25,ContextualCMP
1,Ferroportin-1 in humans,tetrodotoxin effects on humans,25,ContextualCMP
1,Ferroportin-1 in humans,what is ferrocon,25,ContextualCMP
1,Ferroportin-1 in humans,what is mirtazapine used for in humans,25,ContextualCMP
1,Ferroportin-1 in humans,fma ingredients for a human,25,ContextualCMP
1,Ferroportin-1 in humans,is rennin is humans,25,ContextualCMP
1,Ferroportin-1 in humans,what is ferrocon,25,ContextualCMP
1,Ferroportin-1 in humans,tetrodotoxin effects on humans,25,ContextualCMP
1,Ferroportin-1 in humans,what is ferrocon,25,ContextualCMP
1,Ferroportin-1 in humans,fma ingredients for a human,25,ContextualCMP
1,Ferroportin-1 in humans,what is ferritin in blood,25,ContextualCMP
1,Ferroportin-1 in humans,what is ferritin in blood,25,ContextualCMP
1,Ferroportin-1 in humans,tetrodotoxin effects on humans,25,ContextualCMP
1,Ferroportin-1 in humans,what is ferrocon,25,ContextualCMP
1,Ferroportin-1 in humans,fma ingredients for a human,25,ContextualCMP
1,Ferroportin-1 in humans,is rennin is humans,25,ContextualCMP
1,Ferroportin-1 in humans,fma ingredients for a human,25,ContextualCMP
1,Ferroportin-1 in humans,tetrodotoxin effects on humans,25,ContextualCMP
1,Ferroportin-1 in humans,fma ingredients for a human,25,ContextualCMP
1,Ferroportin-1 in humans,is rennin is humans,25,ContextualCMP
1,Ferroportin-1 in humans,what is ferrocon,25,ContextualCMP
1,Ferroportin-1 in humans,tetrodotoxin effects on humans,25,ContextualCMP
1,Ferroportin-1 in humans,tetrodotoxin effects on humans,25,ContextualCMP
1,Ferroportin-1 in humans,tetrodotoxin effects on humans,25,ContextualCMP
1,Ferroportin-1 in humans,what is this medicine for ferrous,25,ContextualCMP
1,Ferroportin-1 in humans,who is onehealthport,25,ContextualCMP
1,Ferroportin-1 in humans,tetrodotoxin effects on humans,25,ContextualCMP
1,Ferroportin-1 in humans,is rennin is humans,25,ContextualCMP
1,Ferroportin-1 in humans,what is atorvastatin used for in humans,25,ContextualCMP
1,Ferroportin-1 in humans,fma ingredients for a human,25,ContextualCMP
1,Ferroportin-1 in humans,what is this medicine for ferrous,25,ContextualCMP
1,Ferroportin-1 in humans,what is ferritin in blood,25,ContextualCMP
1,Ferroportin-1 in humans,tetrodotoxin effects on humans,25,ContextualCMP
1,Ferroportin-1 in humans,tetrodotoxin effects on humans,25,ContextualCMP
1,Ferroportin-1 in humans,what is atorvastatin used for in humans,25,ContextualCMP
1,Ferroportin-1 in humans,is rennin is humans,25,ContextualCMP
1,Ferroportin-1 in humans,what does genotype 1a,25,ContextualCMP
1,Ferroportin-1 in humans,tetrodotoxin effects on humans,25,ContextualCMP
1,Ferroportin-1 in humans,fma ingredients for a human,25,ContextualCMP
1,Ferroportin-1 in humans,tetrodotoxin effects on humans,25,ContextualCMP
1,Ferroportin-1 in humans,what is this medicine for ferrous,25,ContextualCMP
1,Ferroportin-1 in humans,what is the fmr1 gene,25,ContextualCMP
1,Ferroportin-1 in humans,what is this medicine for ferrous,25,ContextualCMP
1,Ferroportin-1 in humans,what is ferritin in blood,25,ContextualCMP
1,Ferroportin-1 in humans,what is this medicine for ferrous,25,ContextualCMP
10,NEIL1,callum neil,25,ContextualCMP
10,NEIL1,callum neil,25,ContextualCMP
10,NEIL1,callum neil,25,ContextualCMP
10,NEIL1,callum neil,25,ContextualCMP
10,NEIL1,callum neil,25,ContextualCMP
10,NEIL1,callum neil,25,ContextualCMP
10,NEIL1,callum neil,25,ContextualCMP
10,NEIL1,callum neil,25,ContextualCMP
10,NEIL1,callum neil,25,ContextualCMP
10,NEIL1,callum neil,25,ContextualCMP
10,NEIL1,callum neil,25,ContextualCMP
10,NEIL1,callum neil,25,ContextualCMP
10,NEIL1,callum neil,25,ContextualCMP
10,NEIL1,callum neil,25,ContextualCMP
10,NEIL1,callum neil,25,ContextualCMP
10,NEIL1,callum neil,25,ContextualCMP
10,NEIL1,callum neil,25,ContextualCMP
10,NEIL1,callum neil,25,ContextualCMP
10,NEIL1,callum neil,25,ContextualCMP
10,NEIL1,callum neil,25,ContextualCMP
10,NEIL1,callum neil,25,ContextualCMP
10,NEIL1,callum neil,25,ContextualCMP
10,NEIL1,callum neil,25,ContextualCMP
10,NEIL1,callum neil,25,ContextualCMP
10,NEIL1,callum neil,25,ContextualCMP
10,NEIL1,callum neil,25,ContextualCMP
10,NEIL1,callum neil,25,ContextualCMP
10,NEIL1,callum neil,25,ContextualCMP
10,NEIL1,callum neil,25,ContextualCMP
