id,text,obfuscatedText,epsilon,mechanism
1,Ferroportin-1 in humans,what is ferrous fumarate made of,12.5,ContextualCMP
1,Ferroportin-1 in humans,what is the fmr1 gene,12.5,ContextualCMP
1,Ferroportin-1 in humans,what is this medicine for ferrous,12.5,ContextualCMP
1,Ferroportin-1 in humans,what does bilirubin identify,12.5,ContextualCMP
1,Ferroportin-1 in humans,cholesterol that is synthesized in the human body,12.5,ContextualCMP
1,Ferroportin-1 in humans,where was ferrooxidans isolated from,12.5,ContextualCMP
1,Ferroportin-1 in humans,what is amiodarone's action in human metabolism,12.5,ContextualCMP
1,Ferroportin-1 in humans,what is serum ferritin,12.5,ContextualCMP
1,Ferroportin-1 in humans,what is the kpcofgs for humans,12.5,ContextualCMP
1,Ferroportin-1 in humans,what is ferrofluid used for,12.5,ContextualCMP
1,Ferroportin-1 in humans,what is the fmr1 gene,12.5,ContextualCMP
1,Ferroportin-1 in humans,is gapdh a cell surface protein in humans?,12.5,ContextualCMP
1,Ferroportin-1 in humans,what is mirtazapine used for in humans,12.5,ContextualCMP
1,Ferroportin-1 in humans,tetrodotoxin effects on humans,12.5,ContextualCMP
1,Ferroportin-1 in humans,what is atorvastatin used for in humans,12.5,ContextualCMP
1,Ferroportin-1 in humans,pyrenees disease in humans,12.5,ContextualCMP
1,Ferroportin-1 in humans,what is ferrocon,12.5,ContextualCMP
1,Ferroportin-1 in humans,is humans prescribed torbutrol,12.5,ContextualCMP
1,Ferroportin-1 in humans,what proteins are found in humans,12.5,ContextualCMP
1,Ferroportin-1 in humans,what is ferritin in blood,12.5,ContextualCMP
1,Ferroportin-1 in humans,what is ferrocon,12.5,ContextualCMP
1,Ferroportin-1 in humans,what is dexamethasone used for in humans,12.5,ContextualCMP
1,Ferroportin-1 in humans,carbon nitrogen ratio in humans,12.5,ContextualCMP
1,Ferroportin-1 in humans,what is ferritin in blood,12.5,ContextualCMP
1,Ferroportin-1 in humans,what is epa1 gene,12.5,ContextualCMP
1,Ferroportin-1 in humans,what is human neutrophil antibody,12.5,ContextualCMP
1,Ferroportin-1 in humans,what is the fmr1 gene,12.5,ContextualCMP
1,Ferroportin-1 in humans,tetrodotoxin effects on humans,12.5,ContextualCMP
1,Ferroportin-1 in humans,which clinical manifestation is found in a client with a deficiency of adrenocorticotropic hormone?,12.5,ContextualCMP
1,Ferroportin-1 in humans,what is human capability,12.5,ContextualCMP
1,Ferroportin-1 in humans,tetrodotoxin effects on humans,12.5,ContextualCMP
1,Ferroportin-1 in humans,what is ferritin blood test for,12.5,ContextualCMP
1,Ferroportin-1 in humans,what is amiodarone's action in human metabolism,12.5,ContextualCMP
1,Ferroportin-1 in humans,what is amiodarone's action in human metabolism,12.5,ContextualCMP
1,Ferroportin-1 in humans,what is human neutrophil antibody,12.5,ContextualCMP
1,Ferroportin-1 in humans,is rennin is humans,12.5,ContextualCMP
1,Ferroportin-1 in humans,what is ferrocon,12.5,ContextualCMP
1,Ferroportin-1 in humans,what is this medicine for ferrous,12.5,ContextualCMP
1,Ferroportin-1 in humans,tetrodotoxin effects on humans,12.5,ContextualCMP
1,Ferroportin-1 in humans,tetrodotoxin effects on humans,12.5,ContextualCMP
1,Ferroportin-1 in humans,tetrodotoxin effects on humans,12.5,ContextualCMP
1,Ferroportin-1 in humans,what human body system does erythropoietin regulate,12.5,ContextualCMP
1,Ferroportin-1 in humans,what is ferritin in blood,12.5,ContextualCMP
1,Ferroportin-1 in humans,what is atorvastatin used for in humans,12.5,ContextualCMP
1,Ferroportin-1 in humans,what is amiodarone's action in human metabolism,12.5,ContextualCMP
1,Ferroportin-1 in humans,tetrodotoxin effects on humans,12.5,ContextualCMP
1,Ferroportin-1 in humans,what does genotype 1a,12.5,ContextualCMP
1,Ferroportin-1 in humans,what is ferrocon,12.5,ContextualCMP
1,Ferroportin-1 in humans,what is sucralfate used for in humans,12.5,ContextualCMP
1,Ferroportin-1 in humans,tetrodotoxin effects on humans,12.5,ContextualCMP
10,NEIL1,callum neil,12.5,ContextualCMP
10,NEIL1,callum neil,12.5,ContextualCMP
10,NEIL1,callum neil,12.5,ContextualCMP
10,NEIL1,callum neil,12.5,ContextualCMP
10,NEIL1,callum neil,12.5,ContextualCMP
10,NEIL1,callum neil,12.5,ContextualCMP
10,NEIL1,callum neil,12.5,ContextualCMP
10,NEIL1,callum neil,12.5,ContextualCMP
10,NEIL1,callum neil,12.5,ContextualCMP
10,NEIL1,callum neil,12.5,ContextualCMP
10,NEIL1,callum neil,12.5,ContextualCMP
10,NEIL1,callum neil,12.5,ContextualCMP
10,NEIL1,callum neil,12.5,ContextualCMP
10,NEIL1,callum neil,12.5,ContextualCMP
10,NEIL1,callum neil,12.5,ContextualCMP
10,NEIL1,callum neil,12.5,ContextualCMP
10,NEIL1,callum neil,12.5,ContextualCMP
10,NEIL1,callum neil,12.5,ContextualCMP
10,NEIL1,callum neil,12.5,ContextualCMP
10,NEIL1,callum neil,12.5,ContextualCMP
10,NEIL1,callum neil,12.5,ContextualCMP
10,NEIL1,callum neil,12.5,ContextualCMP
10,NEIL1,callum neil,12.5,ContextualCMP
10,NEIL1,callum neil,12.5,ContextualCMP
10,NEIL1,callum neil,12.5,ContextualCMP
10,NEIL1,callum neil,12.5,ContextualCMP
10,NEIL1,callum neil,12.5,ContextualCMP
10,NEIL1,callum neil,12.5,ContextualCMP
