id,text,obfuscatedText,epsilon,mechanism
1037798,who is robert gray,highest paid director,1,ContextualMhl
1037798,who is robert gray,what does it mean if an organism is catalase,1,ContextualMhl
1037798,who is robert gray,what is the inscribed on anavar,1,ContextualMhl
1037798,who is robert gray,which muscle are responsible for passive breathing,1,ContextualMhl
1037798,who is robert gray,why sulphur is important in biological molecules,1,ContextualMhl
1037798,who is robert gray,how much money has been spent on the security of the us,1,ContextualMhl
1037798,who is robert gray,source biology definition,1,ContextualMhl
1037798,who is robert gray,salary calculator self-employed at £300 per day,1,ContextualMhl
1037798,who is robert gray,how to make paint dull,1,ContextualMhl
1037798,who is robert gray,what nutrients are in bacon,1,ContextualMhl
1037798,who is robert gray,definition of electrolyte kick dissociation.,1,ContextualMhl
1037798,who is robert gray,how long does it take for personal independence payment,1,ContextualMhl
1037798,who is robert gray,is a substance that contains no active ingredients but is given for its suggestive effects.,1,ContextualMhl
1037798,who is robert gray,nymex crude oil price live,1,ContextualMhl
1037798,who is robert gray,cost to register a vehicle in ct,1,ContextualMhl
1037798,who is robert gray,who is the hulk dr bruce,1,ContextualMhl
1037798,who is robert gray,what is the cost of cologuard,1,ContextualMhl
1037798,who is robert gray,how big was lolong,1,ContextualMhl
1037798,who is robert gray,red circle salary definition,1,ContextualMhl
1037798,who is robert gray,define tty/tdd,1,ContextualMhl
1037798,who is robert gray,"what is the difference between wholesale, retail, and profes",1,ContextualMhl
1037798,who is robert gray,adept packaging,1,ContextualMhl
1037798,who is robert gray,distance between blackwater to isla,1,ContextualMhl
1037798,who is robert gray,what is ipayment,1,ContextualMhl
1037798,who is robert gray,bryton name meaning,1,ContextualMhl
1037798,who is robert gray,what is sigtrack,1,ContextualMhl
1037798,who is robert gray,what is a a lightering tanker,1,ContextualMhl
1037798,who is robert gray,effects of ozone on hydrogen peroxide,1,ContextualMhl
1037798,who is robert gray,what is a prance,1,ContextualMhl
1037798,who is robert gray,who was john b robert,1,ContextualMhl
1037798,who is robert gray,definition horribile dictu,1,ContextualMhl
1037798,who is robert gray,what is cervical dystonia,1,ContextualMhl
1037798,who is robert gray,vaccination why you need second dose,1,ContextualMhl
1037798,who is robert gray,oil spill average cost,1,ContextualMhl
1037798,who is robert gray,define special work procedures,1,ContextualMhl
1037798,who is robert gray,what is bsb number nab,1,ContextualMhl
1037798,who is robert gray,whos the second president,1,ContextualMhl
1037798,who is robert gray,how long does it take to become a qualified football coach,1,ContextualMhl
1037798,who is robert gray,where does the word cops come from,1,ContextualMhl
1037798,who is robert gray,when to use a comma plural adults or adult's,1,ContextualMhl
1037798,who is robert gray,most abundant protein in body,1,ContextualMhl
1037798,who is robert gray,definition of graphie,1,ContextualMhl
1037798,who is robert gray,what is a student management specialist job description?,1,ContextualMhl
1037798,who is robert gray,what is fireclay,1,ContextualMhl
1037798,who is robert gray,who brought champion company,1,ContextualMhl
1037798,who is robert gray,how much can cja attorneys charge government for photocopying charges,1,ContextualMhl
1037798,who is robert gray,what does teratogenic refer to?,1,ContextualMhl
1037798,who is robert gray,batter meaning,1,ContextualMhl
1037798,who is robert gray,movie mclintock cast,1,ContextualMhl
1037798,who is robert gray,how long need to hold renters stuff before getting rid of it minn,1,ContextualMhl
104861,cost of interior concrete flooring,why sulphur is important in biological molecules,1,ContextualMhl
