id,text,obfuscatedText,epsilon,mechanism
1037798,who is robert gray,who is rob grey,17.5,ContextualCMP
1037798,who is robert gray,who is robert mack,17.5,ContextualCMP
1037798,who is robert gray,what is john gray,17.5,ContextualCMP
1037798,who is robert gray,what is john gray,17.5,ContextualCMP
1037798,who is robert gray,who is rob grey,17.5,ContextualCMP
1037798,who is robert gray,who is roderick gray,17.5,ContextualCMP
1037798,who is robert gray,what is john gray,17.5,ContextualCMP
1037798,who is robert gray,who is rob grey,17.5,ContextualCMP
1037798,who is robert gray,what is john gray,17.5,ContextualCMP
1037798,who is robert gray,what is john gray,17.5,ContextualCMP
1037798,who is robert gray,what is john gray,17.5,ContextualCMP
1037798,who is robert gray,what is john gray,17.5,ContextualCMP
1037798,who is robert gray,what is john gray,17.5,ContextualCMP
1037798,who is robert gray,what is john gray,17.5,ContextualCMP
1037798,who is robert gray,who is rob grey,17.5,ContextualCMP
1037798,who is robert gray,who is rob grey,17.5,ContextualCMP
1037798,who is robert gray,what is john gray,17.5,ContextualCMP
1037798,who is robert gray,who is rob grey,17.5,ContextualCMP
1037798,who is robert gray,what is john gray,17.5,ContextualCMP
1037798,who is robert gray,who is rob grey,17.5,ContextualCMP
1037798,who is robert gray,who is roderick gray,17.5,ContextualCMP
1037798,who is robert gray,who is rob grey,17.5,ContextualCMP
1037798,who is robert gray,who is rob grey,17.5,ContextualCMP
1037798,who is robert gray,what is john gray,17.5,ContextualCMP
1037798,who is robert gray,who is rob grey,17.5,ContextualCMP
1037798,who is robert gray,who is rob grey,17.5,ContextualCMP
1037798,who is robert gray,who is rob grey,17.5,ContextualCMP
1037798,who is robert gray,who is roderick gray,17.5,ContextualCMP
1037798,who is robert gray,who is rob grey,17.5,ContextualCMP
1037798,who is robert gray,what is john gray,17.5,ContextualCMP
1037798,who is robert gray,what is john gray,17.5,ContextualCMP
1037798,who is robert gray,who is roderick gray,17.5,ContextualCMP
1037798,who is robert gray,who is roderick gray,17.5,ContextualCMP
1037798,who is robert gray,what is john gray,17.5,ContextualCMP
1037798,who is robert gray,who is robert irwin,17.5,ContextualCMP
1037798,who is robert gray,who is robert mack,17.5,ContextualCMP
1037798,who is robert gray,who is rob grey,17.5,ContextualCMP
1037798,who is robert gray,who is ken gray,17.5,ContextualCMP
1037798,who is robert gray,who is roderick gray,17.5,ContextualCMP
1037798,who is robert gray,what is john gray,17.5,ContextualCMP
1037798,who is robert gray,who is rob grey,17.5,ContextualCMP
1037798,who is robert gray,who is rob grey,17.5,ContextualCMP
1037798,who is robert gray,who is robert irwin,17.5,ContextualCMP
1037798,who is robert gray,who is rob grey,17.5,ContextualCMP
1037798,who is robert gray,what is john gray,17.5,ContextualCMP
1037798,who is robert gray,what is john gray,17.5,ContextualCMP
1037798,who is robert gray,what is john gray,17.5,ContextualCMP
1037798,who is robert gray,who is rob grey,17.5,ContextualCMP
