id,text,obfuscatedText,mechanism,epsilon
1037798,who is robert gray,who is testosterone quartz,DPMLM,12.5
1037798,who is robert gray,who is emitted nation,DPMLM,12.5
1037798,who is robert gray,who is literally cliff,DPMLM,12.5
1037798,who is robert gray,who is garage aides,DPMLM,12.5
1037798,who is robert gray,who is ++) lounge,DPMLM,12.5
1037798,who is robert gray,who is anne wool,DPMLM,12.5
1037798,who is robert gray,who is ring important,DPMLM,12.5
1037798,who is robert gray,who is exceptionally fax,DPMLM,12.5
1037798,who is robert gray,who is includes swell,DPMLM,12.5
1037798,who is robert gray,who is sum college,DPMLM,12.5
1037798,who is robert gray,who is colo fantas,DPMLM,12.5
1037798,who is robert gray,who is rapper possessing,DPMLM,12.5
1037798,who is robert gray,who is wave can,DPMLM,12.5
1037798,who is robert gray,who is use mism,DPMLM,12.5
1037798,who is robert gray,who is parkinson ants,DPMLM,12.5
1037798,who is robert gray,who is emotions menacing,DPMLM,12.5
1037798,who is robert gray,who is mayoral lair,DPMLM,12.5
1037798,who is robert gray,who is sober m,DPMLM,12.5
1037798,who is robert gray,who is ror barry,DPMLM,12.5
1037798,who is robert gray,who is sanford nutritious,DPMLM,12.5
1037798,who is robert gray,who is sentimental metallic,DPMLM,12.5
1037798,who is robert gray,who is midwest alien,DPMLM,12.5
1037798,who is robert gray,who is template ltd,DPMLM,12.5
1037798,who is robert gray,who is spy esthes,DPMLM,12.5
1037798,who is robert gray,who is eliot northwestern,DPMLM,12.5
1037798,who is robert gray,who is negative guide,DPMLM,12.5
1037798,who is robert gray,who is matt chin,DPMLM,12.5
1037798,who is robert gray,who is bn guinness,DPMLM,12.5
1037798,who is robert gray,who is james th,DPMLM,12.5
1037798,who is robert gray,who is relative estimates,DPMLM,12.5
1037798,who is robert gray,who is crying someone,DPMLM,12.5
1037798,who is robert gray,who is french gray,DPMLM,12.5
1037798,who is robert gray,who is road bullish,DPMLM,12.5
1037798,who is robert gray,who is stars scram,DPMLM,12.5
1037798,who is robert gray,who is faq reusable,DPMLM,12.5
1037798,who is robert gray,who is mor cosmetic,DPMLM,12.5
1037798,who is robert gray,who is bully tnt,DPMLM,12.5
1037798,who is robert gray,who is medic colomb,DPMLM,12.5
1037798,who is robert gray,who is ralph dollars,DPMLM,12.5
1037798,who is robert gray,who is aching turkey,DPMLM,12.5
1037798,who is robert gray,who is or diagonal,DPMLM,12.5
1037798,who is robert gray,who is ill gi,DPMLM,12.5
1037798,who is robert gray,who is vb ulus,DPMLM,12.5
1037798,who is robert gray,who is dylan nunes,DPMLM,12.5
1037798,who is robert gray,who is miniature iological,DPMLM,12.5
1037798,who is robert gray,who is slowed runs,DPMLM,12.5
1037798,who is robert gray,who is wizard fit,DPMLM,12.5
1037798,who is robert gray,who is monarch hog,DPMLM,12.5
1037798,who is robert gray,who is def amount,DPMLM,12.5
1037798,who is robert gray,who is station perform,DPMLM,12.5
104861,cost of interior concrete flooring,stack of reproduced like linen,DPMLM,12.5
104861,cost of interior concrete flooring,rep of sticky injection reelection,DPMLM,12.5
104861,cost of interior concrete flooring,capital of amped nut 186,DPMLM,12.5
104861,cost of interior concrete flooring,‎ of significant cm soup,DPMLM,12.5
104861,cost of interior concrete flooring,state of destination tour avascript,DPMLM,12.5
104861,cost of interior concrete flooring,ro of courier toxin drop,DPMLM,12.5
104861,cost of interior concrete flooring,well of fist eat uba,DPMLM,12.5
104861,cost of interior concrete flooring,job of surface residual disadvantage,DPMLM,12.5
104861,cost of interior concrete flooring,maker of underground ür dividing,DPMLM,12.5
104861,cost of interior concrete flooring,newsletter of casino escal ……,DPMLM,12.5
104861,cost of interior concrete flooring,assemb of overlay throw railways,DPMLM,12.5
104861,cost of interior concrete flooring,qualified of dating painful?????,DPMLM,12.5
104861,cost of interior concrete flooring,over of import society offering,DPMLM,12.5
104861,cost of interior concrete flooring,blog of beforehand landscape asio,DPMLM,12.5
104861,cost of interior concrete flooring,ographer of photograph put collapsing,DPMLM,12.5
104861,cost of interior concrete flooring,design of maximum cup ♥,DPMLM,12.5
104861,cost of interior concrete flooring,epad of mainland managed evaluation,DPMLM,12.5
104861,cost of interior concrete flooring,value of denying vinyl 39,DPMLM,12.5
104861,cost of interior concrete flooring,layout of layout vapor la,DPMLM,12.5
104861,cost of interior concrete flooring,public of opus pre extremely,DPMLM,12.5
104861,cost of interior concrete flooring,joy of stereotype buffer ob,DPMLM,12.5
