id,text,obfuscatedText,epsilon,mechanism
1,Ferroportin-1 in humans,definition of wildlife preservation,10,ContextualMhl
1,Ferroportin-1 in humans,what weighs 1 ounce,10,ContextualMhl
1,Ferroportin-1 in humans,how much does a human urinate?,10,ContextualMhl
1,Ferroportin-1 in humans,what are human sources of fluorinated gases,10,ContextualMhl
1,Ferroportin-1 in humans,what is timber tongue in humans,10,ContextualMhl
1,Ferroportin-1 in humans,where is h1au mtdna from,10,ContextualMhl
1,Ferroportin-1 in humans,what is giardia in humans,10,ContextualMhl
1,Ferroportin-1 in humans,prices for human growth hormone,10,ContextualMhl
1,Ferroportin-1 in humans,what does ferritin level mean,10,ContextualMhl
1,Ferroportin-1 in humans,what is epa1 gene,10,ContextualMhl
1,Ferroportin-1 in humans,pyrenees disease in humans,10,ContextualMhl
1,Ferroportin-1 in humans,what is the dosing of esbriet,10,ContextualMhl
1,Ferroportin-1 in humans,effects of ciprofloxacin on gi tract,10,ContextualMhl
1,Ferroportin-1 in humans,where was ferrooxidans isolated from,10,ContextualMhl
1,Ferroportin-1 in humans,what does fetc valves,10,ContextualMhl
1,Ferroportin-1 in humans,d1 athlete definition,10,ContextualMhl
1,Ferroportin-1 in humans,what is ferrocon,10,ContextualMhl
1,Ferroportin-1 in humans,what is atorvastatin used for in humans,10,ContextualMhl
1,Ferroportin-1 in humans,bartonella henselae symptoms in humans,10,ContextualMhl
1,Ferroportin-1 in humans,is rennin is humans,10,ContextualMhl
1,Ferroportin-1 in humans,fma ingredients for a human,10,ContextualMhl
1,Ferroportin-1 in humans,what is viibryd used for,10,ContextualMhl
1,Ferroportin-1 in humans,cholesterol that is synthesized in the human body,10,ContextualMhl
1,Ferroportin-1 in humans,what is a human placenta,10,ContextualMhl
1,Ferroportin-1 in humans,is rennin is humans,10,ContextualMhl
1,Ferroportin-1 in humans,what is human neutrophil antibody,10,ContextualMhl
1,Ferroportin-1 in humans,fma ingredients for a human,10,ContextualMhl
1,Ferroportin-1 in humans,alprostadil penile suppository price,10,ContextualMhl
1,Ferroportin-1 in humans,what is atorvastatin used for in humans,10,ContextualMhl
1,Ferroportin-1 in humans,what do work egg albumin in human body,10,ContextualMhl
1,Ferroportin-1 in humans,what do work egg albumin in human body,10,ContextualMhl
1,Ferroportin-1 in humans,who is onehealthport,10,ContextualMhl
1,Ferroportin-1 in humans,what is fecr,10,ContextualMhl
1,Ferroportin-1 in humans,definition of iron def anemia,10,ContextualMhl
1,Ferroportin-1 in humans,what is atorvastatin used for in humans,10,ContextualMhl
1,Ferroportin-1 in humans,what is 1 virement,10,ContextualMhl
1,Ferroportin-1 in humans,is the iron-containing protein in muscle cells that controls oxygen uptake from red blood cells,10,ContextualMhl
1,Ferroportin-1 in humans,what does albumin trasport,10,ContextualMhl
1,Ferroportin-1 in humans,distance middlebury to burlington,10,ContextualMhl
1,Ferroportin-1 in humans,what does protein and urobilinogen mean in urine,10,ContextualMhl
1,Ferroportin-1 in humans,fma ingredients for a human,10,ContextualMhl
1,Ferroportin-1 in humans,number one killer of humans,10,ContextualMhl
1,Ferroportin-1 in humans,renal failure symptoms in humans,10,ContextualMhl
1,Ferroportin-1 in humans,what is a major invention that was created for the 1ww,10,ContextualMhl
1,Ferroportin-1 in humans,average volume of a human in cm3,10,ContextualMhl
1,Ferroportin-1 in humans,what does rimactane do human body,10,ContextualMhl
1,Ferroportin-1 in humans,what is amiodarone's action in human metabolism,10,ContextualMhl
1,Ferroportin-1 in humans,how much does it cost to use the restrooms in europe,10,ContextualMhl
1,Ferroportin-1 in humans,what best describes the sex chromosomes in humans,10,ContextualMhl
1,Ferroportin-1 in humans,do humans have telomerase,10,ContextualMhl
10,NEIL1,callum neil,10,ContextualMhl
10,NEIL1,callum neil,10,ContextualMhl
10,NEIL1,callum neil,10,ContextualMhl
10,NEIL1,callum neil,10,ContextualMhl
10,NEIL1,is 711 gaming,10,ContextualMhl
10,NEIL1,callum neil,10,ContextualMhl
10,NEIL1,callum neil,10,ContextualMhl
10,NEIL1,callum neil,10,ContextualMhl
10,NEIL1,who is neil lane,10,ContextualMhl
10,NEIL1,callum neil,10,ContextualMhl
10,NEIL1,callum neil,10,ContextualMhl
10,NEIL1,what is sha1,10,ContextualMhl
10,NEIL1,callum neil,10,ContextualMhl
10,NEIL1,callum neil,10,ContextualMhl
10,NEIL1,callum neil,10,ContextualMhl
10,NEIL1,callum neil,10,ContextualMhl
10,NEIL1,what is sha1,10,ContextualMhl
10,NEIL1,callum neil,10,ContextualMhl
10,NEIL1,who is neil lane,10,ContextualMhl
10,NEIL1,callum neil,10,ContextualMhl
10,NEIL1,callum neil,10,ContextualMhl
10,NEIL1,callum neil,10,ContextualMhl
10,NEIL1,callum neil,10,ContextualMhl
10,NEIL1,what is cd1,10,ContextualMhl
10,NEIL1,callum neil,10,ContextualMhl
10,NEIL1,callum neil,10,ContextualMhl
10,NEIL1,d1 athlete definition,10,ContextualMhl
10,NEIL1,callum neil,10,ContextualMhl
10,NEIL1,who is neil lane,10,ContextualMhl
10,NEIL1,callum neil,10,ContextualMhl
10,NEIL1,callum neil,10,ContextualMhl
10,NEIL1,callum neil,10,ContextualMhl
10,NEIL1,callum neil,10,ContextualMhl
10,NEIL1,callum neil,10,ContextualMhl
10,NEIL1,what is sha1,10,ContextualMhl
10,NEIL1,callum neil,10,ContextualMhl
10,NEIL1,callum neil,10,ContextualMhl
10,NEIL1,callum neil,10,ContextualMhl
10,NEIL1,who plays neil caffrey,10,ContextualMhl
10,NEIL1,callum neil,10,ContextualMhl
10,NEIL1,callum neil,10,ContextualMhl
10,NEIL1,callum neil,10,ContextualMhl
10,NEIL1,callum neil,10,ContextualMhl
10,NEIL1,callum neil,10,ContextualMhl
10,NEIL1,what is legal l1 meaning,10,ContextualMhl
10,NEIL1,what is cd1,10,ContextualMhl
10,NEIL1,callum neil,10,ContextualMhl
10,NEIL1,callum neil,10,ContextualMhl
10,NEIL1,callum neil,10,ContextualMhl
10,NEIL1,callum neil,10,ContextualMhl
11,Carcinogenesis and hairless mice,what do cancer patients do to regrow hair,10,ContextualMhl
11,Carcinogenesis and hairless mice,are haircuts subject to tax in nebraska,10,ContextualMhl
11,Carcinogenesis and hairless mice,what are hairless dogs called,10,ContextualMhl
11,Carcinogenesis and hairless mice,longest leg hair in the world,10,ContextualMhl
11,Carcinogenesis and hairless mice,mouse causes car accident,10,ContextualMhl
11,Carcinogenesis and hairless mice,meaning of hairless,10,ContextualMhl
11,Carcinogenesis and hairless mice,does ketoconazole regrow hair,10,ContextualMhl
11,Carcinogenesis and hairless mice,are long haired syrians the same as teddy bear hamsters,10,ContextualMhl
11,Carcinogenesis and hairless mice,what are hairless dogs called,10,ContextualMhl
11,Carcinogenesis and hairless mice,mouse causes car accident,10,ContextualMhl
11,Carcinogenesis and hairless mice,what initiates the process of carcinogenesis?,10,ContextualMhl
11,Carcinogenesis and hairless mice,cause of squamous cell carcinoma in jaw,10,ContextualMhl
11,Carcinogenesis and hairless mice,can urethral caruncle cancerous?,10,ContextualMhl
11,Carcinogenesis and hairless mice,definition of wildlife preservation,10,ContextualMhl
11,Carcinogenesis and hairless mice,can carcinoid tumors come back,10,ContextualMhl
11,Carcinogenesis and hairless mice,is adenocarcinoma and small cell carcinoma the same thing,10,ContextualMhl
11,Carcinogenesis and hairless mice,what is a knockout mouse,10,ContextualMhl
11,Carcinogenesis and hairless mice,meaning of hairless,10,ContextualMhl
11,Carcinogenesis and hairless mice,what initiates the process of carcinogenesis?,10,ContextualMhl
11,Carcinogenesis and hairless mice,what is invasive mammary carcinoma,10,ContextualMhl
11,Carcinogenesis and hairless mice,how do researchers give ginger to mice to shrink tumors?,10,ContextualMhl
11,Carcinogenesis and hairless mice,what is transgenic mouse strains,10,ContextualMhl
11,Carcinogenesis and hairless mice,carcinogenic definition,10,ContextualMhl
11,Carcinogenesis and hairless mice,meaning of hairless,10,ContextualMhl
11,Carcinogenesis and hairless mice,carcinogenic definition,10,ContextualMhl
11,Carcinogenesis and hairless mice,how long does it take for hair to grow backafter chemo using cold cap,10,ContextualMhl
11,Carcinogenesis and hairless mice,is beef a carcinogen,10,ContextualMhl
11,Carcinogenesis and hairless mice,carcinogen definition biology,10,ContextualMhl
11,Carcinogenesis and hairless mice,carcinogenic definition,10,ContextualMhl
